customerID,customerName,country,segment,total_revenue,order_count,avg_order_value,first_purchase_date,last_purchase_date,products_purchased,recommended_action,next_best_action,behavior_signal,recency_days,churn_risk,churn_risk_label,r_score,f_score,m_score,rfm_score,rfm_label,rfm_segment,status_label
FRANK,Frankenversand,Germany,High Value,26656.56,15,1777.1,1996-07-29 00:00:00.000,1998-04-09 00:00:00.000,"Boston Crab Meat, Camembert Pierrot, Chang, Escargots de Bourgogne, Flotemysost, Gorgonzola Telino, Gravad lax, Guaraná Fantástica, Gudbrandsdalsost, Gumbär Gummibärchen, Inlagd Sill, Jack's New England Clam Chowder, Lakkalikööri, Laughing Lumberjack Lager, Mozzarella di Giovanni, Nord-Ost Matjeshering, Original Frankfurter grüne Soße, Pavlova, Perth Pasties, Pâté chinois, Raclette Courdavault, Rhönbräu Klosterbier, Röd Kaviar, Sir Rodney's Scones, Spegesild, Steeleye Stout, Tarte au sucre, Teatime Chocolate Biscuits, Thüringer Rostbratwurst, Tofu, Tourtière, Tunnbröd, Wimmers gute Semmelknödel",Upsell – cross-sell to high-value products,Upsell – cross-sell to high-value products,Active,27,24,Low,3,5,5,355,355,Loyal Customers,Active
QUEEN,Queen Cozinha,Brazil,High Value,25717.5,13,1978.27,1996-12-04 00:00:00.000,1998-05-04 00:00:00.000,"Boston Crab Meat, Camembert Pierrot, Chai, Chef Anton's Cajun Seasoning, Chocolade, Côte de Blaye, Escargots de Bourgogne, Filo Mix, Flotemysost, Geitost, Gnocchi di nonna Alice, Gorgonzola Telino, Guaraná Fantástica, Gumbär Gummibärchen, Inlagd Sill, Ipoh Coffee, Lakkalikööri, Maxilaku, Mozzarella di Giovanni, Nord-Ost Matjeshering, Northwoods Cranberry Sauce, Original Frankfurter grüne Soße, Outback Lager, Pâté chinois, Queso Cabrales, Rhönbräu Klosterbier, Rössle Sauerkraut, Sir Rodney's Marmalade, Sir Rodney's Scones, Steeleye Stout, Teatime Chocolate Biscuits, Tourtière, Valkoinen suklaa",Upsell – cross-sell to high-value products,Upsell – cross-sell to high-value products,Active,2,29,Low,5,4,5,545,545,Champions,Active
BERGS,Berglunds snabbköp,Sweden,High Value,24927.58,18,1384.87,1996-08-12 00:00:00.000,1998-03-04 00:00:00.000,"Alice Mutton, Aniseed Syrup, Boston Crab Meat, Camembert Pierrot, Chai, Chang, Chartreuse verte, Chef Anton's Cajun Seasoning, Côte de Blaye, Filo Mix, Flotemysost, Guaraná Fantástica, Gula Malacca, Gumbär Gummibärchen, Ikura, Ipoh Coffee, Jack's New England Clam Chowder, Konbu, Lakkalikööri, Mascarpone Fabioli, Maxilaku, Nord-Ost Matjeshering, Pavlova, Perth Pasties, Pâté chinois, Raclette Courdavault, Rhönbräu Klosterbier, Röd Kaviar, Rössle Sauerkraut, Sir Rodney's Marmalade, Steeleye Stout, Teatime Chocolate Biscuits, Thüringer Rostbratwurst, Tofu, Tourtière, Vegie-spread, Zaanse koeken",Upsell – cross-sell to high-value products,Upsell – cross-sell to high-value products,Active,63,17,Low,2,5,5,255,255,At Risk,Active
SUPRD,Suprêmes délices,Belgium,High Value,24088.78,12,2007.4,1996-07-09 00:00:00.000,1998-04-21 00:00:00.000,"Alice Mutton, Boston Crab Meat, Camembert Pierrot, Chai, Chang, Chef Anton's Cajun Seasoning, Escargots de Bourgogne, Filo Mix, Flotemysost, Geitost, Gnocchi di nonna Alice, Gorgonzola Telino, Guaraná Fantástica, Gumbär Gummibärchen, Ikura, Ipoh Coffee, Lakkalikööri, Longlife Tofu, Louisiana Hot Spiced Okra, Original Frankfurter grüne Soße, Outback Lager, Pâté chinois, Raclette Courdavault, Rössle Sauerkraut, Schoggi Schokolade, Singaporean Hokkien Fried Mee, Sir Rodney's Marmalade, Sir Rodney's Scones, Steeleye Stout, Teatime Chocolate Biscuits, Tourtière",Upsell – cross-sell to high-value products,Upsell – cross-sell to high-value products,Active,15,27,Low,4,4,5,445,445,Champions,Active
PICCO,Piccolo und mehr,Austria,High Value,23128.86,10,2312.89,1996-11-13 00:00:00.000,1998-04-27 00:00:00.000,"Alice Mutton, Carnarvon Tigers, Côte de Blaye, Gorgonzola Telino, Guaraná Fantástica, Gudbrandsdalsost, Gumbär Gummibärchen, Gustaf's Knäckebröd, Ipoh Coffee, Jack's New England Clam Chowder, Lakkalikööri, Louisiana Fiery Hot Pepper Sauce, Mascarpone Fabioli, Pavlova, Queso Cabrales, Ravioli Angelo, Sirop d'érable, Tofu, Vegie-spread, Wimmers gute Semmelknödel",Upsell – cross-sell to high-value products,Upsell – cross-sell to high-value products,Active,9,28,Low,4,4,5,445,445,Champions,Active
HILAA,HILARION-Abastos,Venezuela,High Value,22768.76,18,1264.93,1996-07-16 00:00:00.000,1998-04-28 00:00:00.000,"Boston Crab Meat, Chai, Chang, Chartreuse verte, Escargots de Bourgogne, Flotemysost, Gorgonzola Telino, Guaraná Fantástica, Gudbrandsdalsost, Gula Malacca, Gumbär Gummibärchen, Jack's New England Clam Chowder, Konbu, Longlife Tofu, Manjimup Dried Apples, Mascarpone Fabioli, Nord-Ost Matjeshering, NuNuCa Nuß-Nougat-Creme, Original Frankfurter grüne Soße, Outback Lager, Perth Pasties, Pâté chinois, Queso Cabrales, Raclette Courdavault, Ravioli Angelo, Rhönbräu Klosterbier, Rössle Sauerkraut, Schoggi Schokolade, Scottish Longbreads, Singaporean Hokkien Fried Mee, Spegesild, Steeleye Stout, Wimmers gute Semmelknödel",Upsell – cross-sell to high-value products,Upsell – cross-sell to high-value products,Active,8,28,Low,4,5,5,455,455,Champions,Active
BONAP,Bon app',France,High Value,21963.25,17,1291.96,1996-10-16 00:00:00.000,1998-05-06 00:00:00.000,"Alice Mutton, Boston Crab Meat, Carnarvon Tigers, Chartreuse verte, Chef Anton's Cajun Seasoning, Flotemysost, Gnocchi di nonna Alice, Gorgonzola Telino, Grandma's Boysenberry Spread, Gudbrandsdalsost, Ikura, Inlagd Sill, Ipoh Coffee, Jack's New England Clam Chowder, Konbu, Lakkalikööri, Louisiana Fiery Hot Pepper Sauce, Manjimup Dried Apples, Mozzarella di Giovanni, Northwoods Cranberry Sauce, NuNuCa Nuß-Nougat-Creme, Pavlova, Ravioli Angelo, Rhönbräu Klosterbier, Singaporean Hokkien Fried Mee, Spegesild, Tarte au sucre, Teatime Chocolate Biscuits, Tofu, Tourtière, Tunnbröd, Uncle Bob's Organic Dried Pears, Wimmers gute Semmelknödel, Zaanse koeken",Upsell – cross-sell to high-value products,Upsell – cross-sell to high-value products,Active,0,30,Low,5,5,5,555,555,Champions,Active
BOTTM,Bottom-Dollar Markets,Canada,High Value,20801.6,14,1485.83,1996-12-20 00:00:00.000,1998-04-24 00:00:00.000,"Alice Mutton, Aniseed Syrup, Boston Crab Meat, Camembert Pierrot, Chai, Geitost, Gnocchi di nonna Alice, Grandma's Boysenberry Spread, Guaraná Fantástica, Gula Malacca, Ikura, Ipoh Coffee, Jack's New England Clam Chowder, Manjimup Dried Apples, Mozzarella di Giovanni, Northwoods Cranberry Sauce, NuNuCa Nuß-Nougat-Creme, Outback Lager, Pâté chinois, Queso Cabrales, Raclette Courdavault, Rhönbräu Klosterbier, Scottish Longbreads, Singaporean Hokkien Fried Mee, Tarte au sucre, Uncle Bob's Organic Dried Pears, Zaanse koeken",Upsell – cross-sell to high-value products,Upsell – cross-sell to high-value products,Active,12,27,Low,4,5,5,455,455,Champions,Active
RICSU,Richter Supermarkt,Switzerland,High Value,19343.78,10,1934.38,1996-07-12 00:00:00.000,1998-05-06 00:00:00.000,"Camembert Pierrot, Chang, Escargots de Bourgogne, Filo Mix, Geitost, Gorgonzola Telino, Gudbrandsdalsost, Gumbär Gummibärchen, Inlagd Sill, Jack's New England Clam Chowder, Konbu, Lakkalikööri, Louisiana Fiery Hot Pepper Sauce, Manjimup Dried Apples, Mozzarella di Giovanni, Nord-Ost Matjeshering, Outback Lager, Pavlova, Perth Pasties, Raclette Courdavault, Ravioli Angelo, Rhönbräu Klosterbier, Röd Kaviar, Spegesild, Thüringer Rostbratwurst, Valkoinen suklaa",Upsell – cross-sell to high-value products,Upsell – cross-sell to high-value products,Active,0,30,Low,5,4,4,544,544,Champions,Active
LEHMS,Lehmanns Marktstand,Germany,High Value,19261.41,15,1284.09,1996-08-13 00:00:00.000,1998-05-05 00:00:00.000,"Alice Mutton, Boston Crab Meat, Camembert Pierrot, Chai, Chang, Filo Mix, Geitost, Genen Shouyu, Gnocchi di nonna Alice, Gorgonzola Telino, Grandma's Boysenberry Spread, Gudbrandsdalsost, Gula Malacca, Gumbär Gummibärchen, Lakkalikööri, Laughing Lumberjack Lager, Mozzarella di Giovanni, Nord-Ost Matjeshering, Northwoods Cranberry Sauce, Original Frankfurter grüne Soße, Pavlova, Queso Cabrales, Queso Manchego La Pastora, Raclette Courdavault, Rhönbräu Klosterbier, Schoggi Schokolade, Scottish Longbreads, Sir Rodney's Marmalade, Thüringer Rostbratwurst, Tourtière, Wimmers gute Semmelknödel",Upsell – cross-sell to high-value products,Upsell – cross-sell to high-value products,Active,1,29,Low,5,5,4,554,554,Champions,Active
BLONP,Blondesddsl père et fils,France,High Value,18534.08,11,1684.92,1996-07-25 00:00:00.000,1998-01-12 00:00:00.000,"Alice Mutton, Carnarvon Tigers, Chai, Chartreuse verte, Côte de Blaye, Filo Mix, Gnocchi di nonna Alice, Gorgonzola Telino, Ikura, Jack's New England Clam Chowder, Lakkalikööri, Maxilaku, Mozzarella di Giovanni, Outback Lager, Pâté chinois, Queso Cabrales, Raclette Courdavault, Ravioli Angelo, Rhönbräu Klosterbier, Rössle Sauerkraut, Spegesild, Tarte au sucre, Thüringer Rostbratwurst, Tourtière, Wimmers gute Semmelknödel",Upsell – cross-sell to high-value products,Upsell – cross-sell to high-value products,At Risk,114,57,Medium,1,4,4,144,144,At Risk,At Risk
GREAL,Great Lakes Food Market,USA,High Value,18507.45,11,1682.5,1997-05-06 00:00:00.000,1998-04-30 00:00:00.000,"Camembert Pierrot, Chai, Côte de Blaye, Flotemysost, Geitost, Gnocchi di nonna Alice, Gula Malacca, Inlagd Sill, Mozzarella di Giovanni, Outback Lager, Queso Cabrales, Raclette Courdavault, Sir Rodney's Scones, Steeleye Stout, Tarte au sucre, Teatime Chocolate Biscuits, Thüringer Rostbratwurst, Tofu, Wimmers gute Semmelknödel, Zaanse koeken",Upsell – cross-sell to high-value products,Upsell – cross-sell to high-value products,Active,6,28,Low,5,4,4,544,544,Champions,Active
SIMOB,Simons bistro,Denmark,High Value,16817.1,7,2402.44,1996-10-29 00:00:00.000,1998-05-06 00:00:00.000,"Côte de Blaye, Geitost, Inlagd Sill, Manjimup Dried Apples, Mozzarella di Giovanni, Nord-Ost Matjeshering, Original Frankfurter grüne Soße, Pavlova, Pâté chinois, Raclette Courdavault, Scottish Longbreads, Sir Rodney's Scones, Sirop d'érable, Spegesild, Tarte au sucre",Upsell – cross-sell to high-value products,Upsell – cross-sell to high-value products,Active,0,30,Low,5,3,4,534,534,Potential Loyalists,Active
LINOD,LINO-Delicateses,Venezuela,Medium Value,16476.57,12,1373.05,1997-01-06 00:00:00.000,1998-04-21 00:00:00.000,"Aniseed Syrup, Boston Crab Meat, Camembert Pierrot, Carnarvon Tigers, Chai, Chang, Chartreuse verte, Escargots de Bourgogne, Gorgonzola Telino, Inlagd Sill, Jack's New England Clam Chowder, Louisiana Fiery Hot Pepper Sauce, Maxilaku, Mozzarella di Giovanni, NuNuCa Nuß-Nougat-Creme, Outback Lager, Pavlova, Pâté chinois, Ravioli Angelo, Rogede sild, Rössle Sauerkraut, Sir Rodney's Scones, Steeleye Stout, Teatime Chocolate Biscuits, Tunnbröd, Valkoinen suklaa",Campaign – targeted next-purchase offer,Campaign – targeted next-purchase offer,Active,15,27,Low,4,4,4,444,444,Champions,Inactive
SEVES,Seven Seas Imports,UK,Medium Value,16215.33,9,1801.7,1996-11-21 00:00:00.000,1998-02-04 00:00:00.000,"Alice Mutton, Camembert Pierrot, Chai, Chartreuse verte, Filo Mix, Gorgonzola Telino, Gravad lax, Guaraná Fantástica, Ikura, Inlagd Sill, Jack's New England Clam Chowder, Manjimup Dried Apples, Mascarpone Fabioli, Maxilaku, Pavlova, Perth Pasties, Queso Cabrales, Rogede sild, Rössle Sauerkraut, Scottish Longbreads, Sir Rodney's Marmalade, Tourtière, Tunnbröd",Retention – reactivation campaign,Retention – reactivation campaign,At Risk,91,53,Medium,1,3,4,134,134,Hibernating,At Risk
LILAS,LILA-Supermercado,Venezuela,Medium Value,16076.6,14,1148.33,1996-08-16 00:00:00.000,1998-05-05 00:00:00.000,"Camembert Pierrot, Chartreuse verte, Filo Mix, Genen Shouyu, Gudbrandsdalsost, Gumbär Gummibärchen, Ikura, Konbu, Longlife Tofu, Mascarpone Fabioli, Maxilaku, Mozzarella di Giovanni, Nord-Ost Matjeshering, Original Frankfurter grüne Soße, Outback Lager, Pavlova, Pâté chinois, Queso Cabrales, Queso Manchego La Pastora, Raclette Courdavault, Ravioli Angelo, Rössle Sauerkraut, Sir Rodney's Scones, Spegesild, Teatime Chocolate Biscuits, Tourtière, Tunnbröd, Uncle Bob's Organic Dried Pears",Campaign – targeted next-purchase offer,Campaign – targeted next-purchase offer,Active,1,29,Low,5,5,4,554,554,Champions,Inactive
VAFFE,Vaffeljernet,Denmark,Medium Value,15843.92,11,1440.36,1996-11-28 00:00:00.000,1998-04-02 00:00:00.000,"Aniseed Syrup, Boston Crab Meat, Filo Mix, Flotemysost, Guaraná Fantástica, Ikura, Jack's New England Clam Chowder, Lakkalikööri, Louisiana Fiery Hot Pepper Sauce, Original Frankfurter grüne Soße, Raclette Courdavault, Rogede sild, Rössle Sauerkraut, Sasquatch Ale, Scottish Longbreads, Sirop d'érable, Steeleye Stout, Tarte au sucre, Thüringer Rostbratwurst, Tourtière, Uncle Bob's Organic Dried Pears, Valkoinen suklaa, Vegie-spread",Campaign – targeted next-purchase offer,Campaign – targeted next-purchase offer,Active,34,23,Low,2,4,4,244,244,At Risk,Inactive
WARTH,Wartian Herkku,Finland,Medium Value,15648.7,15,1043.25,1996-07-26 00:00:00.000,1998-04-15 00:00:00.000,"Camembert Pierrot, Chai, Chartreuse verte, Chef Anton's Cajun Seasoning, Escargots de Bourgogne, Flotemysost, Gnocchi di nonna Alice, Gorgonzola Telino, Gudbrandsdalsost, Gustaf's Knäckebröd, Inlagd Sill, Ipoh Coffee, Konbu, Longlife Tofu, Pavlova, Perth Pasties, Queso Cabrales, Queso Manchego La Pastora, Raclette Courdavault, Ravioli Angelo, Rogede sild, Sir Rodney's Scones, Sirop d'érable, Steeleye Stout, Teatime Chocolate Biscuits, Thüringer Rostbratwurst, Tofu, Tourtière",Campaign – targeted next-purchase offer,Campaign – targeted next-purchase offer,Active,21,25,Low,3,5,4,354,354,Loyal Customers,Inactive
OLDWO,Old World Delicatessen,USA,Medium Value,15177.46,10,1517.75,1996-09-13 00:00:00.000,1998-04-20 00:00:00.000,"Alice Mutton, Carnarvon Tigers, Chartreuse verte, Escargots de Bourgogne, Filo Mix, Gnocchi di nonna Alice, Gorgonzola Telino, Gula Malacca, Ipoh Coffee, Lakkalikööri, Louisiana Fiery Hot Pepper Sauce, Manjimup Dried Apples, Nord-Ost Matjeshering, Pavlova, Raclette Courdavault, Schoggi Schokolade, Singaporean Hokkien Fried Mee, Sir Rodney's Scones, Sirop d'érable, Thüringer Rostbratwurst",Campaign – targeted next-purchase offer,Campaign – targeted next-purchase offer,Active,16,26,Low,3,4,4,344,344,Loyal Customers,Inactive
EASTC,Eastern Connection,UK,Medium Value,14761.03,8,1845.13,1996-11-26 00:00:00.000,1998-04-28 00:00:00.000,"Camembert Pierrot, Chai, Chef Anton's Cajun Seasoning, Chef Anton's Gumbo Mix, Flotemysost, Geitost, Gudbrandsdalsost, Gumbär Gummibärchen, Ipoh Coffee, Louisiana Fiery Hot Pepper Sauce, Louisiana Hot Spiced Okra, Maxilaku, Mozzarella di Giovanni, Nord-Ost Matjeshering, Pâté chinois, Queso Cabrales, Steeleye Stout, Thüringer Rostbratwurst, Uncle Bob's Organic Dried Pears",Campaign – targeted next-purchase offer,Campaign – targeted next-purchase offer,Active,8,28,Low,4,3,4,434,434,Potential Loyalists,Inactive
AROUT,Around the Horn,UK,Medium Value,13390.65,13,1030.05,1996-11-15 00:00:00.000,1998-04-10 00:00:00.000,"Camembert Pierrot, Chang, Chocolade, Filo Mix, Flotemysost, Gnocchi di nonna Alice, Gorgonzola Telino, Guaraná Fantástica, Gustaf's Knäckebröd, Inlagd Sill, Jack's New England Clam Chowder, Konbu, Laughing Lumberjack Lager, Manjimup Dried Apples, Outback Lager, Perth Pasties, Pâté chinois, Ravioli Angelo, Röd Kaviar, Sir Rodney's Marmalade, Spegesild, Steeleye Stout, Valkoinen suklaa, Zaanse koeken",Campaign – targeted next-purchase offer,Campaign – targeted next-purchase offer,Active,26,24,Low,3,4,4,344,344,Loyal Customers,Inactive
